task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,71.56,18.92,17.12,71.61,15.72,19.41,14.11,43.76,13.36,31.51,12.59,68.66,60.51,13.68,28.7,69.46,57.0,13.09,20.15,18.19
1,76.59,74.28,16.19,75.4,16.85,18.31,24.38,37.22,58.2,27.51,46.3,70.14,53.14,21.31,24.88,70.07,52.97,35.53,69.66,73.57
2,76.66,74.57,73.17,75.54,69.29,69.4,58.65,59.42,64.46,62.74,60.03,73.03,50.09,59.52,63.48,67.82,63.71,57.43,67.05,72.61
3,85.44,78.5,78.8,85.51,73.46,74.09,56.7,64.47,63.97,66.68,57.25,81.96,59.45,58.2,67.27,78.0,71.4,55.03,69.17,74.53
4,87.48,82.06,86.7,87.69,85.78,83.34,71.89,67.59,70.81,73.04,66.93,83.83,63.04,73.97,73.57,80.88,74.25,66.95,73.03,78.57
5,88.44,83.89,89.94,88.59,89.0,88.69,73.9,74.23,72.78,80.71,68.55,85.31,66.12,76.34,81.1,82.55,77.27,68.3,74.54,80.45
6,88.97,85.36,90.72,89.08,91.49,89.31,86.95,73.85,80.71,80.7,80.02,85.51,65.98,87.28,81.57,82.76,77.45,82.96,77.11,82.98
7,89.42,85.51,91.72,89.99,91.41,91.02,88.05,87.32,81.12,88.2,80.98,88.61,67.55,87.9,88.36,83.5,86.57,83.75,76.5,83.01
8,89.61,87.71,92.02,89.73,91.43,91.36,89.63,88.08,88.33,88.58,86.97,88.75,65.89,88.74,88.85,82.8,87.08,87.67,79.54,86.72
9,89.26,87.34,92.57,90.05,92.04,91.97,90.15,90.41,88.99,91.1,87.78,88.86,65.07,89.3,90.9,82.41,88.51,88.39,79.48,86.95
10,89.06,88.02,92.24,89.47,91.71,92.08,90.66,90.91,90.45,91.36,90.31,88.67,64.34,89.76,90.79,82.02,88.42,89.92,80.48,87.6
11,90.81,87.57,92.33,91.1,91.73,92.24,90.9,91.08,90.69,91.42,90.95,90.99,66.92,89.82,91.12,84.19,89.95,90.61,79.1,87.49
12,92.15,87.4,92.33,92.01,91.64,91.99,90.77,91.36,90.56,91.58,90.91,91.29,83.03,89.55,91.37,89.31,89.98,90.13,77.56,87.14
13,91.86,87.55,92.22,91.99,92.2,92.34,91.84,91.27,90.98,91.64,91.46,91.18,83.61,91.11,91.34,89.5,89.85,91.13,77.49,87.29
14,91.63,86.5,92.51,91.52,92.45,92.22,91.9,91.6,90.64,92.2,91.22,91.19,84.65,91.65,92.04,89.61,90.29,90.66,76.59,86.24
15,92.27,86.45,92.49,92.25,92.48,92.26,91.69,91.7,91.2,92.03,91.73,91.61,86.6,91.39,92.18,91.09,90.25,91.25,75.82,86.54
16,92.64,87.09,92.36,92.76,92.11,91.95,91.51,92.54,91.16,92.76,91.26,92.59,85.87,91.24,92.6,91.19,91.93,90.62,77.11,86.72
17,92.54,85.9,92.21,92.53,92.22,92.27,92.25,92.15,91.39,92.65,92.06,92.3,86.26,92.13,92.6,91.35,91.66,92.11,75.28,86.01
18,92.55,89.59,91.81,92.21,91.73,91.48,92.01,92.19,91.77,92.28,92.32,92.18,86.34,91.98,92.15,91.19,91.61,92.09,85.08,89.83
19,92.01,90.58,91.54,92.13,91.8,91.45,92.02,91.92,92.27,92.23,92.29,92.22,85.55,91.62,92.02,90.83,91.44,92.17,87.66,91.11
