Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.900000	0.911111	0.919273	0.921292	
0.866667	0.877778	0.894349	0.897578	
0.944444	0.944444	0.920585	0.922200	
0.922222	0.955556	0.920585	0.921695	
0.911111	0.922222	0.918063	0.919778	
0.955556	0.977778	0.921493	0.920989	
0.933333	0.944444	0.921493	0.922301	
0.888889	0.911111	0.923713	0.923310	
0.922222	0.944444	0.918063	0.916852	
0.933333	0.933333	0.926943	0.927548	
0.933333	0.944444	0.917255	0.917962	
0.933333	0.944444	0.920081	0.920484	
0.833333	0.844444	0.852069	0.853885	
0.866667	0.866667	0.919677	0.920182	
0.944444	0.955556	0.925429	0.925126	
0.877778	0.900000	0.906357	0.906862	
0.944444	0.944444	0.923411	0.922704	
0.933333	0.933333	0.918769	0.919475	
0.877778	0.900000	0.857820	0.859536	
0.866667	0.888889	0.897074	0.899092	
