Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.933333	0.944444	0.918264	0.918668	
0.922222	0.922222	0.872957	0.873966	
0.922222	0.922222	0.924521	0.924521	
0.922222	0.922222	0.919273	0.918668	
0.911111	0.922222	0.921191	0.920989	
0.844444	0.855556	0.921998	0.922603	
0.955556	0.955556	0.920787	0.920585	
0.900000	0.900000	0.913522	0.912815	
0.866667	0.888889	0.912513	0.912916	
0.922222	0.922222	0.913925	0.915136	
0.922222	0.933333	0.914733	0.915237	
0.933333	0.944444	0.915338	0.916145	
0.800000	0.833333	0.820686	0.824622	
0.877778	0.900000	0.916852	0.916751	
0.855556	0.877778	0.909586	0.909788	
0.900000	0.933333	0.887084	0.887286	
0.900000	0.900000	0.902018	0.902119	
0.966667	0.966667	0.912714	0.913724	
0.755556	0.766667	0.774067	0.780525	
0.866667	0.877778	0.870434	0.873360	
