Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.855556	0.855556	0.882543	0.883956	
0.755556	0.755556	0.838850	0.840868	
0.866667	0.888889	0.899596	0.901615	
0.911111	0.911111	0.884359	0.885570	
0.800000	0.855556	0.890010	0.890817	
0.888889	0.888889	0.887588	0.888396	
0.711111	0.744444	0.736529	0.741877	
0.733333	0.777778	0.740767	0.746821	
0.633333	0.644444	0.714934	0.722301	
0.755556	0.744444	0.804036	0.808274	
0.744444	0.766667	0.667608	0.676488	
0.822222	0.822222	0.850252	0.854692	
0.677778	0.677778	0.651665	0.656609	
0.777778	0.811111	0.760747	0.769021	
0.833333	0.833333	0.813824	0.812412	
0.822222	0.833333	0.824117	0.825126	
0.800000	0.800000	0.776993	0.782038	
0.655556	0.700000	0.677195	0.685267	
0.733333	0.766667	0.751160	0.756307	
0.800000	0.811111	0.805146	0.808678	
