Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.777778	0.800000	0.768214	0.771443	
0.788889	0.788889	0.738749	0.743290	
0.133333	0.144444	0.165489	0.170535	
0.755556	0.777778	0.757417	0.760747	
0.200000	0.200000	0.174067	0.181837	
0.144444	0.144444	0.187790	0.192028	
0.211111	0.233333	0.253481	0.262563	
0.377778	0.400000	0.377699	0.387992	
0.522222	0.533333	0.580525	0.589304	
0.211111	0.211111	0.282139	0.289001	
0.500000	0.511111	0.467407	0.478507	
0.622222	0.622222	0.704238	0.711705	
0.566667	0.588889	0.537841	0.541574	
0.222222	0.233333	0.220182	0.230071	
0.177778	0.188889	0.262159	0.269828	
0.788889	0.811111	0.705752	0.704238	
0.444444	0.455556	0.533905	0.543592	
0.355556	0.366667	0.364682	0.374672	
0.633333	0.666667	0.689506	0.692028	
0.677778	0.700000	0.732795	0.733300	
