Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.900000	0.911111	0.923411	0.922906	
0.855556	0.855556	0.869728	0.871140	
0.933333	0.955556	0.923814	0.923814	
0.900000	0.900000	0.924924	0.925631	
0.933333	0.933333	0.918365	0.919273	
0.922222	0.922222	0.925429	0.926438	
0.877778	0.877778	0.917861	0.918365	
0.933333	0.944444	0.922603	0.923613	
0.944444	0.944444	0.910394	0.910595	
0.966667	0.966667	0.927245	0.925631	
0.911111	0.922222	0.913017	0.912109	
0.877778	0.888889	0.919173	0.920484	
0.811111	0.833333	0.865288	0.867508	
0.922222	0.922222	0.915540	0.917053	
0.922222	0.922222	0.926034	0.924622	
0.833333	0.844444	0.908678	0.909485	
0.933333	0.933333	0.907871	0.908073	
0.966667	0.977778	0.910494	0.912210	
0.722222	0.744444	0.764682	0.770737	
0.900000	0.911111	0.867911	0.868618	
