Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.944444	0.944444	0.924218	0.925227	
0.877778	0.877778	0.863774	0.864480	
0.966667	0.966667	0.922603	0.923007	
0.900000	0.933333	0.923814	0.924924	
0.933333	0.955556	0.920787	0.923411	
0.966667	0.988889	0.919677	0.920383	
0.888889	0.888889	0.922906	0.924319	
0.944444	0.955556	0.923512	0.924218	
0.944444	0.955556	0.912916	0.913724	
0.944444	0.944444	0.925833	0.925732	
0.900000	0.933333	0.919576	0.919980	
0.966667	0.966667	0.924117	0.924924	
0.911111	0.900000	0.860343	0.861756	
0.922222	0.933333	0.920383	0.921594	
0.933333	0.933333	0.923613	0.923915	
0.866667	0.877778	0.913421	0.914228	
0.911111	0.922222	0.920081	0.919879	
0.888889	0.922222	0.921191	0.920383	
0.744444	0.744444	0.756206	0.760444	
0.900000	0.933333	0.861554	0.865388	
