Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.900000	0.911111	0.893542	0.893744	
0.866667	0.888889	0.878708	0.878910	
0.955556	0.955556	0.923209	0.922805	
0.877778	0.888889	0.898688	0.899899	
0.944444	0.955556	0.916953	0.916448	
0.933333	0.955556	0.921897	0.921090	
0.900000	0.911111	0.910696	0.910595	
0.933333	0.933333	0.905348	0.906256	
0.933333	0.955556	0.903734	0.904541	
0.955556	0.955556	0.911806	0.913320	
0.877778	0.877778	0.904137	0.904945	
0.866667	0.888889	0.890313	0.892129	
0.644444	0.677778	0.651463	0.657921	
0.788889	0.800000	0.900605	0.901009	
0.922222	0.922222	0.909183	0.910293	
0.822222	0.855556	0.831887	0.835116	
0.833333	0.833333	0.886075	0.887689	
0.900000	0.911111	0.904036	0.904743	
0.800000	0.811111	0.796367	0.799697	
0.855556	0.855556	0.875479	0.875378	
