Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.766667	0.766667	0.727548	0.729263	
0.222222	0.222222	0.185368	0.194349	
0.166667	0.200000	0.172654	0.181534	
0.600000	0.611111	0.727750	0.736024	
0.133333	0.144444	0.160444	0.167508	
0.166667	0.188889	0.198789	0.207366	
0.177778	0.177778	0.138749	0.142079	
0.444444	0.455556	0.435721	0.449445	
0.155556	0.166667	0.130172	0.140868	
0.344444	0.377778	0.318365	0.328355	
0.144444	0.177778	0.124622	0.132593	
0.733333	0.722222	0.697881	0.700202	
0.611111	0.622222	0.605752	0.610091	
0.166667	0.177778	0.134612	0.138547	
0.277778	0.277778	0.291826	0.300706	
0.722222	0.755556	0.704036	0.707669	
0.588889	0.600000	0.570535	0.579011	
0.177778	0.188889	0.129364	0.133401	
0.200000	0.211111	0.195863	0.202725	
0.244444	0.255556	0.178204	0.189707	
