Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.922222	0.922222	0.893037	0.894147	
0.833333	0.855556	0.844803	0.847124	
0.933333	0.944444	0.919576	0.920182	
0.966667	0.966667	0.899395	0.900101	
0.955556	0.977778	0.916650	0.916650	
0.866667	0.855556	0.911100	0.911201	
0.877778	0.900000	0.878002	0.877397	
0.911111	0.911111	0.874874	0.875378	
0.855556	0.844444	0.809586	0.810999	
0.955556	0.966667	0.884561	0.883249	
0.833333	0.855556	0.805651	0.809485	
0.944444	0.944444	0.889506	0.889606	
0.700000	0.733333	0.677498	0.684662	
0.855556	0.866667	0.877901	0.875479	
0.911111	0.944444	0.884057	0.885570	
0.855556	0.844444	0.832089	0.834813	
0.844444	0.844444	0.871241	0.873259	
0.855556	0.877778	0.830676	0.832896	
0.677778	0.677778	0.754591	0.758426	
0.800000	0.822222	0.823007	0.823814	
