Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.366667	0.388889	0.419475	0.432190	
0.544444	0.566667	0.547023	0.555903	
0.566667	0.566667	0.608779	0.614531	
0.866667	0.888889	0.831685	0.833199	
0.900000	0.911111	0.895560	0.895459	
0.900000	0.922222	0.903734	0.904541	
0.844444	0.866667	0.917154	0.918163	
0.922222	0.933333	0.905247	0.906761	
0.900000	0.900000	0.889909	0.891625	
0.888889	0.911111	0.848032	0.849647	
0.822222	0.844444	0.823613	0.825631	
0.800000	0.811111	0.800202	0.806054	
0.833333	0.844444	0.806761	0.808375	
0.866667	0.866667	0.847629	0.850252	
0.911111	0.911111	0.901413	0.902825	
0.922222	0.922222	0.909284	0.909889	
0.922222	0.955556	0.907165	0.907972	
0.933333	0.933333	0.895056	0.895156	
0.877778	0.888889	0.858123	0.860242	
0.755556	0.800000	0.707770	0.714934	
