Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.900000	0.911111	0.878002	0.879516	
0.877778	0.877778	0.886075	0.888597	
0.877778	0.900000	0.897982	0.899798	
0.855556	0.877778	0.895358	0.896569	
0.900000	0.933333	0.910091	0.911806	
0.922222	0.933333	0.901715	0.901312	
0.900000	0.922222	0.907770	0.909586	
0.877778	0.877778	0.900505	0.902220	
0.866667	0.866667	0.909384	0.910595	
0.888889	0.911111	0.901110	0.903532	
0.933333	0.933333	0.903633	0.905348	
0.944444	0.944444	0.895459	0.895964	
0.855556	0.866667	0.902523	0.903734	
0.866667	0.888889	0.895863	0.898184	
0.922222	0.933333	0.913925	0.914228	
0.900000	0.922222	0.903532	0.905550	
0.922222	0.933333	0.905146	0.906357	
0.911111	0.922222	0.891927	0.893643	
0.933333	0.944444	0.875580	0.877800	
0.722222	0.722222	0.708073	0.717962	
