Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.344444	0.377778	0.345610	0.355499	
0.333333	0.355556	0.398991	0.401211	
0.500000	0.533333	0.438042	0.444803	
0.566667	0.588889	0.560646	0.567407	
0.644444	0.644444	0.587790	0.594349	
0.544444	0.544444	0.582139	0.581937	
0.588889	0.577778	0.531685	0.529667	
0.444444	0.488889	0.506660	0.516347	
0.333333	0.355556	0.405954	0.417962	
0.411111	0.422222	0.343996	0.356912	
0.355556	0.355556	0.317659	0.324016	
0.233333	0.266667	0.264581	0.275177	
0.200000	0.233333	0.258829	0.266599	
0.200000	0.211111	0.211201	0.217356	
0.144444	0.177778	0.198991	0.207265	
0.155556	0.155556	0.198285	0.204743	
0.155556	0.200000	0.194349	0.202119	
0.222222	0.244444	0.221897	0.228961	
0.266667	0.277778	0.225328	0.230474	
0.255556	0.288889	0.237134	0.247931	
