Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.377778	0.377778	0.411201	0.416751	
0.533333	0.533333	0.527447	0.533300	
0.644444	0.666667	0.585469	0.590414	
0.844444	0.844444	0.814430	0.815237	
0.922222	0.933333	0.864581	0.867407	
0.877778	0.877778	0.860545	0.863269	
0.844444	0.866667	0.833502	0.835520	
0.822222	0.833333	0.792129	0.795459	
0.600000	0.588889	0.630474	0.638143	
0.455556	0.488889	0.566297	0.572755	
0.633333	0.611111	0.569122	0.572957	
0.544444	0.544444	0.661251	0.666398	
0.777778	0.766667	0.691826	0.697275	
0.900000	0.911111	0.794551	0.799596	
0.955556	0.955556	0.864985	0.865489	
0.755556	0.766667	0.838244	0.840767	
0.700000	0.711111	0.784460	0.789707	
0.777778	0.800000	0.742886	0.746216	
0.688889	0.744444	0.622402	0.631584	
0.455556	0.466667	0.440363	0.450555	
