Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.888889	0.888889	0.869526	0.872452	
0.900000	0.900000	0.875278	0.876993	
0.922222	0.933333	0.884057	0.886680	
0.855556	0.866667	0.897881	0.900303	
0.900000	0.911111	0.914632	0.916549	
0.911111	0.922222	0.908476	0.911806	
0.944444	0.944444	0.909889	0.912109	
0.900000	0.900000	0.901211	0.903734	
0.922222	0.933333	0.904642	0.907770	
0.922222	0.944444	0.892533	0.895257	
0.900000	0.911111	0.884359	0.890515	
0.866667	0.888889	0.858325	0.861958	
0.844444	0.855556	0.851665	0.856912	
0.911111	0.911111	0.865187	0.868920	
0.866667	0.866667	0.902624	0.904137	
0.966667	0.966667	0.900807	0.903532	
0.955556	0.955556	0.905651	0.907972	
0.900000	0.933333	0.895762	0.897881	
0.811111	0.833333	0.880827	0.884157	
0.800000	0.788889	0.732392	0.739051	
