Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.500000	0.511111	0.407467	0.413724	
0.566667	0.566667	0.530071	0.533502	
0.644444	0.677778	0.587790	0.590515	
0.800000	0.800000	0.777296	0.781130	
0.811111	0.811111	0.811100	0.814934	
0.811111	0.822222	0.787891	0.790918	
0.777778	0.788889	0.697578	0.701413	
0.633333	0.644444	0.644601	0.654087	
0.411111	0.422222	0.484763	0.495762	
0.477778	0.511111	0.470434	0.480626	
0.377778	0.400000	0.479011	0.485671	
0.666667	0.666667	0.615742	0.621695	
0.633333	0.655556	0.649041	0.652472	
0.777778	0.788889	0.753582	0.754995	
0.822222	0.822222	0.799193	0.802119	
0.744444	0.777778	0.710091	0.712311	
0.622222	0.644444	0.585974	0.590010	
0.555556	0.566667	0.540363	0.547730	
0.366667	0.377778	0.409384	0.412714	
0.366667	0.366667	0.263673	0.271948	
