Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.377778	0.411111	0.413017	0.422402	
0.500000	0.500000	0.496065	0.500202	
0.555556	0.555556	0.538850	0.549142	
0.688889	0.688889	0.670333	0.667810	
0.666667	0.688889	0.692634	0.695156	
0.677778	0.688889	0.675883	0.679112	
0.611111	0.622222	0.612513	0.616650	
0.611111	0.622222	0.568214	0.576488	
0.511111	0.522222	0.449041	0.459031	
0.511111	0.555556	0.446922	0.460949	
0.511111	0.555556	0.450353	0.461453	
0.533333	0.555556	0.541372	0.544400	
0.500000	0.544444	0.548638	0.553784	
0.622222	0.622222	0.606963	0.611403	
0.755556	0.744444	0.629566	0.627346	
0.511111	0.522222	0.594854	0.601413	
0.611111	0.622222	0.534107	0.541171	
0.511111	0.511111	0.520787	0.528254	
0.488889	0.466667	0.442886	0.447528	
0.344444	0.344444	0.356811	0.363169	
