Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.877778	0.888889	0.874571	0.875580	
0.822222	0.855556	0.879213	0.882644	
0.944444	0.955556	0.889405	0.892129	
0.933333	0.955556	0.890313	0.892028	
0.888889	0.888889	0.907871	0.909082	
0.911111	0.933333	0.905651	0.906155	
0.933333	0.944444	0.911100	0.912412	
0.866667	0.900000	0.901009	0.902422	
0.922222	0.922222	0.910091	0.910999	
0.922222	0.922222	0.901211	0.901816	
0.844444	0.844444	0.905348	0.906357	
0.855556	0.855556	0.891726	0.892836	
0.911111	0.922222	0.892735	0.893239	
0.833333	0.855556	0.888900	0.890010	
0.944444	0.944444	0.911907	0.912311	
0.900000	0.911111	0.900404	0.902422	
0.933333	0.944444	0.902825	0.904642	
0.900000	0.922222	0.892230	0.892230	
0.844444	0.877778	0.874571	0.878910	
0.722222	0.733333	0.701312	0.707871	
