Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.877778	0.882543	0.885570	
0.933333	0.955556	0.892028	0.894248	
0.922222	0.933333	0.900807	0.902018	
0.833333	0.855556	0.900605	0.902523	
0.933333	0.955556	0.910494	0.911201	
0.888889	0.888889	0.902321	0.904440	
0.933333	0.933333	0.912008	0.913421	
0.866667	0.866667	0.901009	0.902220	
0.866667	0.900000	0.912916	0.913824	
0.900000	0.944444	0.900101	0.901715	
0.944444	0.944444	0.910595	0.910797	
0.866667	0.900000	0.888496	0.890313	
0.900000	0.900000	0.889707	0.890716	
0.922222	0.933333	0.885873	0.886478	
0.922222	0.922222	0.905853	0.907366	
0.888889	0.888889	0.899697	0.901211	
0.944444	0.955556	0.901917	0.902220	
0.877778	0.888889	0.888194	0.890313	
0.811111	0.822222	0.870131	0.872351	
0.666667	0.688889	0.692533	0.702624	
