Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.477778	0.488889	0.429667	0.434813	
0.544444	0.566667	0.541776	0.550858	
0.488889	0.511111	0.599798	0.601413	
0.777778	0.788889	0.772048	0.772654	
0.788889	0.777778	0.798386	0.797982	
0.855556	0.855556	0.786983	0.786377	
0.733333	0.733333	0.716549	0.717457	
0.633333	0.644444	0.673966	0.678002	
0.533333	0.522222	0.522805	0.528759	
0.500000	0.500000	0.501615	0.508274	
0.511111	0.533333	0.498789	0.503431	
0.511111	0.511111	0.578103	0.580222	
0.633333	0.633333	0.594046	0.597175	
0.677778	0.677778	0.660444	0.664480	
0.711111	0.711111	0.689909	0.694248	
0.666667	0.688889	0.619173	0.623915	
0.544444	0.555556	0.527952	0.536831	
0.455556	0.466667	0.492836	0.500505	
0.455556	0.488889	0.384258	0.391826	
0.233333	0.244444	0.278809	0.284561	
