Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.444444	0.444444	0.412714	0.422503	
0.488889	0.488889	0.528053	0.537538	
0.511111	0.522222	0.595560	0.602926	
0.833333	0.844444	0.828456	0.831685	
0.866667	0.866667	0.889606	0.892129	
0.922222	0.933333	0.897376	0.897780	
0.900000	0.900000	0.906054	0.906963	
0.911111	0.911111	0.894854	0.895863	
0.833333	0.855556	0.845207	0.847124	
0.777778	0.811111	0.780020	0.784662	
0.711111	0.744444	0.755903	0.763673	
0.744444	0.777778	0.759536	0.767709	
0.733333	0.766667	0.782644	0.785671	
0.777778	0.800000	0.838648	0.843088	
0.888889	0.900000	0.897376	0.897376	
0.933333	0.944444	0.886781	0.887689	
0.855556	0.877778	0.864985	0.868618	
0.777778	0.811111	0.835015	0.841372	
0.711111	0.722222	0.740061	0.748537	
0.600000	0.611111	0.541473	0.553179	
