Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.877778	0.888889	0.885469	0.886377	
0.855556	0.866667	0.892735	0.893845	
0.933333	0.955556	0.903330	0.904238	
0.877778	0.888889	0.906458	0.909082	
0.911111	0.944444	0.915237	0.917457	
0.866667	0.877778	0.904743	0.906357	
0.900000	0.911111	0.910494	0.910797	
0.888889	0.911111	0.902825	0.902926	
0.877778	0.877778	0.912916	0.913623	
0.877778	0.888889	0.904137	0.905247	
0.911111	0.933333	0.905954	0.907064	
0.888889	0.900000	0.894349	0.895560	
0.888889	0.900000	0.900404	0.901816	
0.855556	0.877778	0.888496	0.893542	
0.933333	0.933333	0.901615	0.903027	
0.888889	0.900000	0.893138	0.895055	
0.955556	0.966667	0.902220	0.902220	
0.911111	0.911111	0.887487	0.890414	
0.877778	0.877778	0.879011	0.881029	
0.766667	0.766667	0.752977	0.759233	
