Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.822222	0.855556	0.843391	0.847023	
0.877778	0.888889	0.837639	0.841574	
0.844444	0.866667	0.851261	0.854894	
0.900000	0.911111	0.880121	0.882139	
0.888889	0.900000	0.898688	0.901312	
0.911111	0.911111	0.900303	0.901917	
0.911111	0.911111	0.908779	0.912109	
0.866667	0.866667	0.901211	0.905146	
0.922222	0.922222	0.896771	0.896670	
0.855556	0.866667	0.872250	0.874773	
0.900000	0.911111	0.862866	0.864985	
0.855556	0.866667	0.844501	0.847225	
0.788889	0.788889	0.848840	0.852573	
0.888889	0.933333	0.857518	0.861554	
0.911111	0.911111	0.898285	0.900908	
0.933333	0.944444	0.906054	0.908476	
0.933333	0.944444	0.910898	0.912210	
0.888889	0.900000	0.898385	0.901514	
0.888889	0.900000	0.882947	0.887689	
0.655556	0.677778	0.751665	0.758224	
