task,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc
0,35.65,43.26,46.84,58.41,58.97,55.99,49.38,47.28,33.41,25.28,22.29,16.29,15.53,14.17,14.81,15.29,17.22,17.52,18.3,22.76
1,42.97,52.01,56.22,67.82,70.14,68.23,61.87,58.42,46.21,45.69,46.84,55.71,56.58,62.21,65.46,61.45,55.02,52.45,44.95,34.58
2,45.29,56.11,61.69,77.46,80.59,78.25,70.05,65.65,48.82,45.89,47.44,56.51,58.16,65.19,69.41,62.05,51.9,47.56,36.85,25.92
3,41.74,53.68,59.66,79.2,82.23,79.22,70.7,65.5,48.28,46.2,48.32,61.22,64.92,74.95,80.72,71.84,59.68,55.1,41.41,26.76
4,40.09,52.31,58.43,80.68,85.66,85.77,81.96,78.32,62.02,56.8,56.64,64.93,68.21,76.56,81.65,70.53,57.69,52.87,38.72,25.91
5,40.05,52.52,59.14,81.63,86.42,86.25,83.04,78.98,62.1,55.95,55.59,65.27,68.71,78.71,86.32,83.3,77.46,73.3,61.44,43.02
6,40.22,53.66,59.35,82.52,88.15,88.89,87.7,85.27,71.38,63.79,61.76,68.2,71.69,80.44,87.27,84.92,80.89,77.42,66.81,47.53
7,42.87,54.39,59.9,81.48,87.43,88.26,87.94,85.08,70.61,62.19,61.69,68.12,71.65,80.36,87.96,87.74,85.77,82.88,73.52,53.57
8,41.59,55.06,61.14,82.93,88.95,90.08,90.18,89.08,84.28,78.61,75.47,76.25,77.49,83.07,89.26,89.14,87.54,85.04,77.04,57.05
9,41.04,53.77,59.46,82.48,89.0,90.08,90.86,89.67,85.81,80.38,77.07,76.39,78.29,83.6,89.83,90.43,90.2,88.84,85.1,70.63
10,42.47,53.82,59.48,82.21,89.24,90.13,91.35,90.44,88.08,82.12,80.11,77.71,79.23,83.65,89.86,90.96,90.96,89.7,86.99,72.6
11,44.63,54.94,60.75,82.86,88.87,89.79,90.82,89.68,87.98,83.04,81.19,78.53,79.55,83.07,89.71,90.7,90.95,90.35,88.64,75.58
12,74.9,77.67,79.66,87.14,90.5,90.68,91.22,89.95,88.1,82.47,80.27,76.9,78.29,82.97,89.5,90.87,91.18,90.35,88.66,74.87
13,77.6,78.68,80.54,86.77,90.29,90.3,91.15,90.01,89.47,85.45,85.49,80.5,81.53,83.76,89.78,90.52,90.98,90.18,88.55,74.18
14,84.83,84.45,85.45,88.65,90.7,90.41,91.21,90.39,90.56,87.94,86.86,83.26,83.61,85.79,90.14,91.12,91.58,90.77,88.44,73.18
15,85.66,85.02,85.72,87.61,89.82,89.92,91.02,90.12,90.73,88.9,88.85,84.77,84.92,85.76,89.58,90.14,91.0,90.05,88.71,74.11
16,86.54,86.12,87.26,88.11,90.25,89.88,90.67,90.07,90.97,88.7,89.42,85.64,85.88,86.35,90.1,90.67,91.76,90.96,89.37,74.84
17,86.91,86.46,87.58,87.71,89.76,89.08,89.86,89.42,90.29,89.45,90.09,87.7,87.92,87.68,90.09,89.84,90.51,89.16,87.53,71.99
18,87.93,88.48,89.57,89.66,90.89,89.9,90.18,88.93,89.75,88.72,89.23,86.43,87.35,86.87,89.59,89.47,90.24,89.22,88.26,72.72
19,88.42,89.52,90.21,89.94,90.38,89.67,89.86,89.16,89.34,87.9,89.76,87.68,88.73,88.27,90.17,90.12,90.89,89.93,88.38,71.9
