Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.477778	0.500000	0.412916	0.417255	
0.577778	0.577778	0.540767	0.543996	
0.555556	0.588889	0.599798	0.607064	
0.788889	0.788889	0.815843	0.819374	
0.900000	0.900000	0.860444	0.858628	
0.866667	0.866667	0.858527	0.859435	
0.844444	0.855556	0.821292	0.823613	
0.788889	0.788889	0.782341	0.785873	
0.588889	0.611111	0.614329	0.619778	
0.577778	0.588889	0.561251	0.565187	
0.477778	0.488889	0.564379	0.572149	
0.688889	0.722222	0.643391	0.651362	
0.733333	0.744444	0.673058	0.680020	
0.722222	0.733333	0.767709	0.770938	
0.855556	0.855556	0.820283	0.823411	
0.722222	0.722222	0.706458	0.712210	
0.500000	0.522222	0.582038	0.586983	
0.533333	0.555556	0.529263	0.534410	
0.344444	0.377778	0.383956	0.392735	
0.322222	0.333333	0.255903	0.263370	
