Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.444444	0.488889	0.405954	0.412614	
0.566667	0.577778	0.535318	0.542281	
0.622222	0.633333	0.594955	0.599193	
0.833333	0.855556	0.828860	0.830979	
0.833333	0.822222	0.884561	0.884662	
0.911111	0.922222	0.888194	0.889606	
0.877778	0.877778	0.878809	0.880525	
0.788889	0.788889	0.848335	0.851766	
0.711111	0.722222	0.701514	0.709082	
0.611111	0.622222	0.630878	0.638042	
0.588889	0.633333	0.615943	0.619778	
0.700000	0.722222	0.682947	0.689506	
0.733333	0.744444	0.716145	0.721090	
0.744444	0.766667	0.805247	0.807366	
0.888889	0.888889	0.871342	0.872553	
0.877778	0.888889	0.844299	0.845711	
0.855556	0.855556	0.799798	0.803935	
0.766667	0.800000	0.758930	0.762967	
0.644444	0.655556	0.647528	0.654591	
0.488889	0.500000	0.459536	0.466599	
