Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.433333	0.477778	0.429364	0.439657	
0.522222	0.533333	0.551060	0.557114	
0.611111	0.644444	0.606054	0.612109	
0.833333	0.822222	0.831483	0.834309	
0.877778	0.900000	0.892533	0.893946	
0.955556	0.955556	0.900807	0.901110	
0.955556	0.955556	0.902825	0.903229	
0.900000	0.900000	0.891322	0.892129	
0.855556	0.866667	0.838648	0.841776	
0.866667	0.866667	0.778305	0.785469	
0.755556	0.777778	0.762765	0.770434	
0.766667	0.777778	0.760444	0.762866	
0.833333	0.844444	0.786781	0.790918	
0.822222	0.855556	0.836932	0.839657	
0.888889	0.888889	0.891423	0.890817	
0.911111	0.922222	0.888295	0.889707	
0.877778	0.888889	0.871443	0.871948	
0.855556	0.877778	0.841776	0.846418	
0.655556	0.688889	0.754793	0.760343	
0.533333	0.555556	0.562664	0.572250	
