Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.377778	0.400000	0.433703	0.440767	
0.588889	0.622222	0.551060	0.558022	
0.644444	0.677778	0.607770	0.615439	
0.777778	0.777778	0.783754	0.784561	
0.833333	0.833333	0.811201	0.810595	
0.788889	0.800000	0.794248	0.796670	
0.700000	0.700000	0.721897	0.725732	
0.666667	0.677778	0.679314	0.686983	
0.500000	0.500000	0.521191	0.534006	
0.488889	0.500000	0.490918	0.497982	
0.422222	0.444444	0.503633	0.513017	
0.555556	0.577778	0.581534	0.587286	
0.511111	0.533333	0.597679	0.600706	
0.555556	0.588889	0.665288	0.667205	
0.622222	0.644444	0.695156	0.698083	
0.655556	0.655556	0.615035	0.618971	
0.522222	0.544444	0.509183	0.518668	
0.444444	0.455556	0.472351	0.479617	
0.366667	0.377778	0.370333	0.381332	
0.277778	0.277778	0.264480	0.266196	
