Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.877778	0.884864	0.884258	
0.900000	0.922222	0.891120	0.893138	
0.933333	0.933333	0.905146	0.905954	
0.944444	0.944444	0.903330	0.905146	
0.922222	0.922222	0.913219	0.913522	
0.888889	0.900000	0.902624	0.904642	
0.888889	0.888889	0.908073	0.908375	
0.922222	0.944444	0.901413	0.902825	
0.866667	0.877778	0.906054	0.906862	
0.888889	0.888889	0.900202	0.901312	
0.944444	0.944444	0.900202	0.901917	
0.877778	0.900000	0.888295	0.889909	
0.933333	0.944444	0.889304	0.891322	
0.877778	0.900000	0.881736	0.884763	
0.888889	0.911111	0.903633	0.906155	
0.844444	0.866667	0.896165	0.897578	
0.877778	0.888889	0.905954	0.907972	
0.866667	0.888889	0.896367	0.898083	
0.877778	0.877778	0.887387	0.887992	
0.733333	0.733333	0.732593	0.741675	
