Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.877778	0.888889	0.871342	0.873562	
0.866667	0.900000	0.871342	0.873259	
0.877778	0.900000	0.881534	0.883754	
0.866667	0.866667	0.893744	0.895661	
0.855556	0.877778	0.909485	0.911504	
0.911111	0.911111	0.903835	0.905853	
0.922222	0.933333	0.909384	0.913118	
0.900000	0.900000	0.897175	0.898789	
0.866667	0.900000	0.906054	0.907366	
0.900000	0.911111	0.894955	0.896670	
0.833333	0.855556	0.901615	0.904137	
0.800000	0.800000	0.878708	0.880727	
0.877778	0.877778	0.882341	0.883754	
0.933333	0.933333	0.878809	0.880626	
0.900000	0.911111	0.903835	0.906155	
0.933333	0.944444	0.898184	0.899798	
0.844444	0.866667	0.906559	0.909183	
0.900000	0.900000	0.892936	0.894652	
0.888889	0.888889	0.881837	0.885570	
0.688889	0.700000	0.724723	0.732997	
