Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.266667	0.300000	0.338850	0.342684	
0.400000	0.422222	0.429667	0.443391	
0.522222	0.566667	0.480626	0.492230	
0.744444	0.733333	0.644400	0.638446	
0.666667	0.711111	0.684561	0.691524	
0.722222	0.711111	0.658930	0.659233	
0.600000	0.600000	0.581231	0.586579	
0.566667	0.622222	0.543693	0.552069	
0.311111	0.344444	0.347427	0.358325	
0.255556	0.266667	0.246519	0.257921	
0.277778	0.266667	0.219072	0.229566	
0.155556	0.188889	0.152573	0.163269	
0.100000	0.111111	0.142281	0.146317	
0.100000	0.111111	0.125933	0.131988	
0.133333	0.155556	0.140969	0.146519	
0.166667	0.200000	0.150050	0.153986	
0.122222	0.122222	0.158022	0.160545	
0.155556	0.166667	0.153179	0.158224	
0.155556	0.166667	0.168012	0.171039	
0.200000	0.200000	0.203027	0.209082	
