Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.422222	0.466667	0.420484	0.430979	
0.455556	0.455556	0.520989	0.528052	
0.588889	0.611111	0.566398	0.569526	
0.711111	0.722222	0.691524	0.692331	
0.688889	0.700000	0.716852	0.719576	
0.744444	0.755556	0.691927	0.697679	
0.688889	0.711111	0.627548	0.628860	
0.544444	0.544444	0.587689	0.597376	
0.544444	0.600000	0.455399	0.466498	
0.444444	0.488889	0.447124	0.454692	
0.466667	0.477778	0.461453	0.473562	
0.511111	0.544444	0.552069	0.562967	
0.600000	0.633333	0.563976	0.570636	
0.588889	0.588889	0.630979	0.635822	
0.577778	0.577778	0.663774	0.668214	
0.577778	0.633333	0.619374	0.624723	
0.577778	0.611111	0.549445	0.550454	
0.488889	0.500000	0.520787	0.527548	
0.455556	0.477778	0.439758	0.445510	
0.333333	0.333333	0.332795	0.339253	
