Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.366667	0.377778	0.406155	0.414430	
0.566667	0.566667	0.532795	0.538648	
0.711111	0.711111	0.584561	0.593441	
0.855556	0.855556	0.810898	0.814329	
0.922222	0.922222	0.865187	0.867306	
0.844444	0.844444	0.864783	0.866700	
0.866667	0.866667	0.837437	0.839960	
0.755556	0.766667	0.807467	0.807164	
0.733333	0.755556	0.637336	0.642886	
0.522222	0.544444	0.573966	0.580727	
0.566667	0.588889	0.574167	0.578607	
0.722222	0.744444	0.659939	0.665489	
0.788889	0.800000	0.691524	0.697679	
0.766667	0.777778	0.787487	0.792836	
0.822222	0.822222	0.859637	0.860141	
0.811111	0.833333	0.825933	0.828961	
0.766667	0.788889	0.767407	0.772250	
0.744444	0.755556	0.727144	0.733703	
0.566667	0.588889	0.616549	0.621191	
0.322222	0.355556	0.445207	0.452170	
