Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.866667	0.842583	0.848739	
0.833333	0.855556	0.830878	0.837841	
0.822222	0.822222	0.839556	0.846115	
0.844444	0.866667	0.868819	0.874268	
0.900000	0.900000	0.892028	0.895257	
0.866667	0.888889	0.890212	0.895964	
0.833333	0.833333	0.908274	0.910797	
0.900000	0.911111	0.895661	0.899395	
0.955556	0.966667	0.896670	0.899596	
0.933333	0.944444	0.883552	0.888496	
0.844444	0.855556	0.882846	0.885066	
0.822222	0.833333	0.859132	0.862059	
0.888889	0.900000	0.860141	0.864379	
0.811111	0.855556	0.868719	0.872250	
0.900000	0.900000	0.906256	0.908174	
0.866667	0.877778	0.910494	0.911907	
0.911111	0.922222	0.915641	0.915943	
0.888889	0.900000	0.908779	0.909990	
0.844444	0.844444	0.895358	0.897780	
0.744444	0.766667	0.779919	0.784258	
