Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.844444	0.855556	0.864682	0.870333	
0.888889	0.888889	0.856710	0.861857	
0.911111	0.922222	0.867306	0.870535	
0.922222	0.922222	0.882341	0.885671	
0.877778	0.888889	0.902018	0.904743	
0.911111	0.911111	0.894854	0.896771	
0.855556	0.877778	0.908577	0.909183	
0.900000	0.900000	0.897376	0.897175	
0.955556	0.966667	0.900505	0.900202	
0.955556	0.966667	0.871140	0.874470	
0.844444	0.866667	0.881433	0.887185	
0.866667	0.888889	0.839657	0.846620	
0.800000	0.800000	0.845610	0.853885	
0.900000	0.944444	0.854490	0.862059	
0.944444	0.955556	0.900605	0.903229	
0.844444	0.855556	0.904137	0.907770	
0.944444	0.944444	0.910898	0.913522	
0.911111	0.933333	0.900605	0.902422	
0.877778	0.877778	0.884965	0.889909	
0.822222	0.822222	0.751261	0.755298	
