Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.488889	0.488889	0.424117	0.432492	
0.566667	0.588889	0.532593	0.537033	
0.566667	0.588889	0.585671	0.596569	
0.766667	0.766667	0.819677	0.824016	
0.966667	0.966667	0.892028	0.894652	
0.911111	0.911111	0.904743	0.905348	
0.922222	0.922222	0.919072	0.919475	
0.888889	0.922222	0.914430	0.914228	
0.811111	0.833333	0.893542	0.895055	
0.766667	0.788889	0.852270	0.854894	
0.777778	0.822222	0.828153	0.830272	
0.755556	0.777778	0.796569	0.801312	
0.777778	0.788889	0.802725	0.807164	
0.800000	0.833333	0.834511	0.836024	
0.844444	0.844444	0.894248	0.896367	
0.900000	0.911111	0.908375	0.910797	
0.900000	0.900000	0.913421	0.914430	
0.888889	0.900000	0.905550	0.908476	
0.877778	0.877778	0.882139	0.886075	
0.766667	0.777778	0.757114	0.765792	
