Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.944444	0.944444	0.890010	0.890817	
0.811111	0.822222	0.843391	0.844299	
0.900000	0.922222	0.903128	0.902220	
0.866667	0.866667	0.892432	0.892836	
0.900000	0.922222	0.891625	0.894147	
0.911111	0.922222	0.889506	0.890010	
0.744444	0.722222	0.742987	0.749950	
0.822222	0.855556	0.760141	0.766801	
0.733333	0.733333	0.733401	0.740262	
0.811111	0.822222	0.812614	0.815035	
0.633333	0.622222	0.687891	0.696569	
0.855556	0.866667	0.865994	0.866902	
0.622222	0.644444	0.643391	0.647931	
0.722222	0.733333	0.772553	0.773461	
0.766667	0.788889	0.820989	0.825933	
0.822222	0.855556	0.824823	0.828860	
0.811111	0.811111	0.781837	0.786478	
0.688889	0.722222	0.693643	0.697982	
0.744444	0.744444	0.762765	0.767911	
0.833333	0.844444	0.810394	0.812916	
