Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.877778	0.896468	0.897376	
0.777778	0.811111	0.852270	0.853582	
0.955556	0.966667	0.915742	0.916044	
0.822222	0.844444	0.899193	0.900101	
0.922222	0.933333	0.917659	0.917457	
0.933333	0.933333	0.913118	0.912714	
0.866667	0.866667	0.878204	0.880626	
0.911111	0.911111	0.874571	0.875984	
0.744444	0.733333	0.817760	0.819576	
0.911111	0.922222	0.881231	0.883350	
0.788889	0.822222	0.818769	0.821393	
0.922222	0.933333	0.889606	0.890414	
0.688889	0.711111	0.649647	0.655802	
0.833333	0.844444	0.878910	0.880020	
0.866667	0.888889	0.883653	0.885772	
0.844444	0.855556	0.822603	0.827750	
0.855556	0.877778	0.866297	0.868920	
0.822222	0.833333	0.842482	0.843592	
0.788889	0.788889	0.761352	0.766398	
0.788889	0.833333	0.829566	0.831483	
