Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.933333	0.933333	0.922603	0.923007	
0.900000	0.900000	0.896569	0.897578	
0.966667	0.988889	0.919072	0.919576	
0.900000	0.900000	0.923512	0.924319	
0.900000	0.922222	0.921090	0.922503	
0.955556	0.955556	0.917255	0.918264	
0.933333	0.933333	0.927245	0.927952	
0.944444	0.955556	0.918971	0.919273	
0.911111	0.911111	0.922301	0.923209	
0.955556	0.955556	0.924924	0.926236	
0.922222	0.933333	0.924420	0.924622	
0.966667	0.966667	0.927043	0.924622	
0.855556	0.866667	0.854995	0.857921	
0.911111	0.911111	0.922603	0.922906	
0.966667	0.966667	0.922301	0.923915	
0.966667	0.966667	0.907265	0.908073	
0.911111	0.933333	0.917760	0.919576	
0.900000	0.922222	0.923713	0.923613	
0.855556	0.866667	0.857719	0.860848	
0.900000	0.911111	0.894046	0.895964	
