Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.944444	0.944444	0.903431	0.904743	
0.900000	0.900000	0.879011	0.878910	
0.911111	0.911111	0.923310	0.923613	
0.944444	0.955556	0.910898	0.911806	
0.933333	0.944444	0.919273	0.919475	
0.888889	0.900000	0.921695	0.922402	
0.900000	0.900000	0.912815	0.912311	
0.877778	0.888889	0.912614	0.912614	
0.955556	0.966667	0.907770	0.908779	
0.922222	0.933333	0.920182	0.920182	
0.900000	0.911111	0.908779	0.909990	
0.900000	0.911111	0.915540	0.916448	
0.677778	0.722222	0.655197	0.662361	
0.900000	0.911111	0.902018	0.902725	
0.944444	0.944444	0.913925	0.914026	
0.755556	0.766667	0.836529	0.840061	
0.922222	0.922222	0.905550	0.906054	
0.900000	0.922222	0.903229	0.905449	
0.788889	0.822222	0.786882	0.793340	
0.944444	0.966667	0.869627	0.871140	
