Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.755556	0.766667	0.763572	0.767104	
0.677778	0.711111	0.752977	0.755298	
0.722222	0.733333	0.724016	0.724622	
0.766667	0.766667	0.757316	0.760848	
0.711111	0.711111	0.689203	0.692836	
0.755556	0.744444	0.696973	0.698385	
0.511111	0.511111	0.589707	0.595560	
0.677778	0.700000	0.618971	0.624117	
0.666667	0.677778	0.654995	0.659637	
0.677778	0.677778	0.641473	0.646115	
0.522222	0.500000	0.610293	0.617558	
0.755556	0.744444	0.742684	0.745207	
0.433333	0.444444	0.499092	0.502220	
0.655556	0.666667	0.602725	0.607972	
0.666667	0.655556	0.647427	0.653078	
0.700000	0.700000	0.672856	0.677699	
0.677778	0.688889	0.659536	0.663875	
0.544444	0.600000	0.582644	0.587891	
0.733333	0.744444	0.679617	0.682543	
0.722222	0.744444	0.735722	0.737841	
