Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.877778	0.877778	0.895661	0.897376	
0.822222	0.844444	0.850050	0.851261	
0.955556	0.966667	0.910898	0.910898	
0.888889	0.911111	0.893744	0.894753	
0.888889	0.900000	0.913421	0.913219	
0.866667	0.888889	0.901110	0.902321	
0.844444	0.855556	0.865994	0.867205	
0.722222	0.733333	0.764178	0.770636	
0.800000	0.833333	0.806559	0.811705	
0.811111	0.811111	0.818063	0.820686	
0.866667	0.877778	0.797175	0.802321	
0.855556	0.866667	0.865590	0.868113	
0.711111	0.733333	0.660646	0.669021	
0.844444	0.866667	0.871544	0.872553	
0.822222	0.844444	0.827952	0.833199	
0.900000	0.911111	0.827750	0.829162	
0.777778	0.800000	0.782846	0.787891	
0.800000	0.822222	0.825328	0.829465	
0.788889	0.822222	0.753380	0.757316	
0.800000	0.800000	0.827447	0.828961	
