Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.722222	0.722222	0.750454	0.750757	
0.722222	0.722222	0.740767	0.743794	
0.177778	0.166667	0.168012	0.172452	
0.688889	0.700000	0.747326	0.747629	
0.100000	0.122222	0.172755	0.177497	
0.155556	0.177778	0.190817	0.194551	
0.277778	0.300000	0.259031	0.271241	
0.366667	0.366667	0.401211	0.408174	
0.544444	0.611111	0.596065	0.607164	
0.266667	0.277778	0.296569	0.304339	
0.533333	0.544444	0.484460	0.498890	
0.700000	0.733333	0.707871	0.712513	
0.544444	0.544444	0.521695	0.526135	
0.300000	0.322222	0.231685	0.238951	
0.255556	0.255556	0.273360	0.279516	
0.655556	0.677778	0.688900	0.695560	
0.600000	0.600000	0.552775	0.559738	
0.377778	0.433333	0.381534	0.393845	
0.644444	0.666667	0.686176	0.690616	
0.700000	0.700000	0.731685	0.735721	
