Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.800000	0.811111	0.779415	0.784965	
0.811111	0.833333	0.797780	0.801715	
0.777778	0.800000	0.821393	0.824924	
0.866667	0.888889	0.879717	0.883047	
0.900000	0.900000	0.910797	0.910394	
0.888889	0.888889	0.912614	0.912714	
0.944444	0.944444	0.920686	0.921594	
0.900000	0.911111	0.912916	0.913824	
0.900000	0.900000	0.901816	0.904541	
0.844444	0.866667	0.873663	0.877094	
0.900000	0.900000	0.858930	0.859132	
0.822222	0.822222	0.826438	0.831282	
0.800000	0.822222	0.832795	0.835318	
0.855556	0.855556	0.845812	0.850656	
0.866667	0.866667	0.897477	0.899899	
0.933333	0.966667	0.903229	0.903128	
0.911111	0.922222	0.908678	0.909284	
0.922222	0.944444	0.896569	0.899193	
0.888889	0.900000	0.881937	0.883047	
0.833333	0.844444	0.749849	0.751665	
