Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.388889	0.400000	0.403330	0.407568	
0.522222	0.533333	0.522402	0.524420	
0.633333	0.644444	0.581029	0.583653	
0.822222	0.844444	0.808577	0.809384	
0.811111	0.822222	0.855399	0.856912	
0.888889	0.900000	0.853078	0.855600	
0.777778	0.800000	0.817154	0.818971	
0.822222	0.833333	0.774773	0.779818	
0.588889	0.622222	0.612109	0.615641	
0.511111	0.522222	0.557820	0.562664	
0.477778	0.488889	0.552069	0.555600	
0.722222	0.744444	0.638749	0.643592	
0.688889	0.722222	0.674773	0.681231	
0.800000	0.822222	0.772048	0.775177	
0.755556	0.777778	0.819980	0.822704	
0.744444	0.744444	0.721897	0.725429	
0.577778	0.588889	0.586882	0.592129	
0.566667	0.566667	0.537134	0.545106	
0.444444	0.455556	0.390010	0.397376	
0.155556	0.155556	0.254995	0.262664	
