Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.466667	0.500000	0.432190	0.441271	
0.600000	0.600000	0.555197	0.561554	
0.600000	0.644444	0.610091	0.615439	
0.755556	0.777778	0.829970	0.833300	
0.833333	0.833333	0.880424	0.883047	
0.877778	0.900000	0.885772	0.887386	
0.855556	0.866667	0.874369	0.876387	
0.888889	0.900000	0.846922	0.849849	
0.744444	0.788889	0.707871	0.707972	
0.700000	0.733333	0.624521	0.630172	
0.600000	0.633333	0.601211	0.605954	
0.711111	0.733333	0.665187	0.668012	
0.800000	0.811111	0.698486	0.701514	
0.777778	0.788889	0.792936	0.799294	
0.866667	0.877778	0.866801	0.870535	
0.766667	0.777778	0.845510	0.848537	
0.833333	0.833333	0.804945	0.809990	
0.755556	0.788889	0.767508	0.774672	
0.644444	0.655556	0.662765	0.669324	
0.488889	0.500000	0.476791	0.485368	
