Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.777778	0.800000	0.737033	0.742583	
0.777778	0.777778	0.763572	0.769425	
0.833333	0.833333	0.790212	0.795762	
0.844444	0.877778	0.865288	0.870232	
0.911111	0.911111	0.902624	0.905752	
0.922222	0.922222	0.907064	0.909485	
0.933333	0.933333	0.917558	0.917861	
0.877778	0.911111	0.909687	0.909788	
0.855556	0.866667	0.895863	0.897376	
0.833333	0.844444	0.848032	0.853683	
0.855556	0.855556	0.814733	0.820081	
0.722222	0.777778	0.788900	0.797477	
0.755556	0.755556	0.799899	0.803532	
0.866667	0.900000	0.838850	0.842281	
0.877778	0.888889	0.900303	0.902321	
0.944444	0.955556	0.907064	0.909586	
0.922222	0.955556	0.912815	0.913017	
0.900000	0.911111	0.899798	0.901514	
0.866667	0.877778	0.873966	0.877699	
0.688889	0.722222	0.720484	0.731181	
