Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.866667	0.888889	0.857619	0.860343	
0.833333	0.855556	0.849041	0.852170	
0.877778	0.888889	0.851968	0.854289	
0.888889	0.888889	0.871241	0.877094	
0.966667	0.966667	0.898486	0.900908	
0.855556	0.911111	0.896065	0.897780	
0.933333	0.944444	0.909687	0.911201	
0.900000	0.900000	0.898184	0.901413	
0.900000	0.900000	0.901615	0.904743	
0.866667	0.900000	0.882846	0.889001	
0.922222	0.922222	0.887588	0.891019	
0.822222	0.822222	0.856610	0.863068	
0.777778	0.811111	0.856610	0.863068	
0.933333	0.933333	0.864278	0.867407	
0.944444	0.944444	0.906660	0.908073	
0.900000	0.900000	0.905348	0.907467	
0.888889	0.900000	0.912210	0.913724	
0.877778	0.888889	0.902422	0.904440	
0.833333	0.855556	0.887992	0.890616	
0.833333	0.855556	0.749041	0.755701	
