Context acc. pre	Context acc. post	Test acc. pre	Test acc. post	
0.888889	0.900000	0.845812	0.848032	
0.844444	0.888889	0.845106	0.848234	
0.844444	0.855556	0.853380	0.855802	
0.844444	0.866667	0.880525	0.882947	
0.911111	0.911111	0.905651	0.906054	
0.911111	0.911111	0.904036	0.904844	
0.866667	0.877778	0.914632	0.914531	
0.888889	0.911111	0.908981	0.908174	
0.933333	0.933333	0.907165	0.906357	
0.855556	0.866667	0.880626	0.880424	
0.922222	0.933333	0.867709	0.870737	
0.822222	0.822222	0.839253	0.843895	
0.833333	0.855556	0.843189	0.847225	
0.844444	0.844444	0.855399	0.860949	
0.866667	0.900000	0.904844	0.906963	
0.877778	0.911111	0.906458	0.907265	
0.966667	0.966667	0.911403	0.912008	
0.788889	0.800000	0.900101	0.902220	
0.822222	0.844444	0.881433	0.883754	
0.688889	0.700000	0.732997	0.737336	
